ISIN,Issue Date,Coupon,Maturity Date,URL,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,data_url
CA135087N837,5/13/2022,2.75%,9/1/2027,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087n837,99.63,99.56,99.54,99.58,99.27,99.13,99.02,99.2,99.5,99.53,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20241118&to=20250118"
CA135087P659,11/2/2022,3.75%,2/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_202225-Bond-2025-ca135087p659,100.03,100.01,100.03,100.02,100.0,100.02,100.01,100.02,100.0,100.0,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122922756,1330,184&from=20241118&to=20250118"
CA135087S547,11/1/2024,3.00%,2/1/2027,https://markets.businessinsider.com/bonds/canadacd-bonds_202427-Bond-2027-ca135087s547,100.11,100.14,100.08,100.1,99.96,99.81,99.67,99.81,100.03,100.07,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,139591564,1330,184&from=20241118&to=20250118"
CA135087L518,10/9/2020,0.25%,3/1/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_202026-Bond-2026-ca135087l518,96.99,96.98,96.97,97.0,96.9,96.91,96.8,96.9,97.01,97.06,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57601476,1330,184&from=20241118&to=20250118"
CA135087R556,2/12/2024,4.00%,5/1/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-Bond-2026-ca135087r556,101.28,101.31,101.27,101.28,101.22,101.09,100.99,101.09,101.22,101.24,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20241118&to=20250118"
CA135087L930,4/16/2021,1.00%,9/1/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-Bond-2026-ca135087l930,97.01,96.99,97.0,97.03,96.86,96.77,96.71,96.85,97.03,97.07,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20241118&to=20250118"
CA135087E679,7/21/2015,1.50%,6/1/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-Bond-2026-ca135087e679,98.15,98.13,98.15,98.15,97.99,97.92,97.86,97.97,98.11,98.17,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20241118&to=20250118"
CA135087R978,5/6/2024,4.00%,8/3/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-Bond-2026-ca135087r978,101.54,101.57,101.53,101.55,101.46,101.32,101.2,101.32,101.49,101.51,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,135402145,1330,184&from=20241118&to=20250118"
CA135087P733,12/2/2022,3.25%,8/24/2027,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087p733,101.02,101.04,100.94,101.02,100.72,100.41,100.46,100.67,100.73,101.0,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20241118&to=20250118"
CA135087VH40,8/2/1994,9.00%,6/1/2025,https://markets.businessinsider.com/bonds/9_000-canada-government-of-Bond-2025-ca135087vh40,102.41,102.31,102.37,102.27,102.25,102.16,102.14,102.14,102.17,102.17,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,324796,1330,184&from=20241118&to=20250118"
CA135087F825,8/3/2016,1.00%,6/1/2027,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-Bond-2027-ca135087f825,95.84,95.81,95.81,95.85,95.56,95.44,95.34,95.52,95.75,95.76,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20241118&to=20250118"
CA135087Q319,2/10/2023,3.75%,5/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_202325_sq319-Bond-2025-ca135087q319,100.22,100.22,100.21,100.21,100.17,100.16,100.15,100.18,100.2,100.2,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,125111425,1330,184&from=20241118&to=20250118"
CA135087Q640,5/12/2023,3.50%,8/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_202325-Bond-2025-ca135087q640,100.26,100.25,100.24,100.25,100.19,100.17,100.15,100.19,100.25,100.26,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126861078,1330,184&from=20241118&to=20250118"
CA135087S398,8/2/2024,3.25%,11/1/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-Bond-2026-ca135087s398,100.47,100.41,100.42,100.46,100.23,100.13,100.06,100.2,100.41,100.42,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,14,184&from=20241118&to=20250118"
CA135087Q806,8/4/2023,4.50%,11/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_202325-Bond-2025-ca135087q806,101.19,101.2,101.17,101.18,101.1,101.06,101.01,101.07,101.15,101.16,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128862182,1330,184&from=20241118&to=20250118"
CA135087M847,10/15/2021,1.25%,3/1/2027,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-Bond-2027-ca135087m847,96.62,96.59,96.58,96.63,96.39,96.28,96.19,96.36,96.6,96.64,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20241118&to=20250118"
CA135087P816,1/20/2023,3.00%,4/1/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-Bond-2026-ca135087p816,100.05,100.04,100.04,100.06,99.92,99.85,99.8,99.9,100.03,100.05,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20241118&to=20250118"
CA135087R226,11/1/2023,4.50%,2/1/2026,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-Bond-2026-ca135087r226,101.58,101.58,101.56,101.58,101.46,101.39,101.35,101.42,101.52,101.54,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20241118&to=20250118"
,,,,,,,,,,,,,,,
